Variable Name,Variable Label (CHN),Variable Label (ENG),Value Label (CHN),Value Label (ENG),
occedu,胜任当前工作所需教育程度,Self-rated Education Level Needed for Current Occupation,"1 ""不必念书""
2 ""小学""
3 ""初中""
4 ""高中/中专/技校/职高""
5 ""大专""
6 ""本科""
7 ""硕士""
8 ""博士""","1 ""None"" 
2 ""Elementary School"" 
3 ""Junior High and Vocational School"" 
4 ""Senior High and Vocational School"" 
5 ""Vocational College or Some College"" 
6 ""Bachelor Degree"" 
7 ""Master Degree"" 
8 ""PhD Degree""",
Part4. Income,,,,,
mwage,当前主要工作月均工资,Main Job Monthly Wage,,,
hwage,当前主要工作小时工资,Main Job Hourly Wage,,,
ywage,当前主要工作年收入（包括奖金等）,Main Job Annual Income (Bonus Included),,,
ywaget,所有工作年收入（包括奖金等）,Annual Income from All Jobs (Bonus Included) ,,,
income,年总收入,Annual Total Income,,,
Part5. Family Socioecnomic Status,,,,,
birthprov,出生省份,Birthplace (Province),,,
yresprov,青少年时居住省份,Residence (Province) When R in Adolescence,,,
yhukou,青少年时户口,Hukou When R in Adolescence,,,
nsib,兄弟姐妹数,Number of Siblings,,,
fedu,父亲最高学历,Father's Highest Educational Level Attained,,,
medu,母亲最高学历,Mother's Highest Educational Level Attained,,,
focctype_isco,父亲职业（ISCO88）,Father's Occupation (ISCO88),,,
mocctype_isco,母亲职业（ISCO88）,Mother's Occupation (ISCO88),,,
foccisei,父亲职业ISEI,Father's Occupation ISEI,,,
moccisei,母亲职业ISEI,Mother's Occupation ISEI,,,
fccp,父亲是否共产党员,Whether Father's a CCP Member,,,
mccp,母亲是否共产党员,Whether Mother's a CCP Member,,,
pid_f,父亲ID,Father's ID,,,
pid_m,母亲ID,Mother's ID,,,
Part6. Cognitive/Non-cognitive/Language Abilities,,,,,
word,字词测试原始得分,Original Score for Word Test,,,
math,数学测试原始得分,Original Score for Math Test,,,
iwr,瞬时字词记忆得分,Immediate Word Recall,,,
dwr,延时字词记忆得分,Delayed Word Recall,,,
ns_g,数列测试得分: Guttman Scale,Number Series Test: Guttman Scale,,,
ns_w,数列测试得分: W-Score,Number Series Test: W-Score,,,
comprehend_ir,理解能力（访员打分）,Comprehension Ability (Interviewer Grading),,,
